Name,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Caris LeVert,5.6,10.2,0.545,0.522,3.1,4.4,0.721,1.0,3.3,4.3,3.7,1.2,0.4,2.1,2.4,18.4
Joe Harris,2.5,4.6,0.5329999999999999,0.632,1.2,1.4,0.8390000000000001,0.8,2.9,3.6,2.4,0.6,0.2,1.5,2.9,13.4
D'Angelo Russell,4.8,10.0,0.47700000000000004,0.5,1.6,1.9,0.8170000000000001,0.5,3.3,3.8,6.3,1.1,0.3,2.9,1.7,18.3
Spencer Dinwiddie,3.5,6.8,0.525,0.534,4.1,5.1,0.7959999999999999,0.4,2.1,2.5,5.0,0.6,0.2,2.3,2.8,16.9
Jarrett Allen,4.3,6.9,0.621,0.59,2.7,3.7,0.7340000000000001,2.6,5.7,8.3,1.4,0.6,1.5,1.3,2.4,11.5
Allen Crabbe,0.7,2.9,0.25,0.474,1.1,1.4,0.789,0.5,3.0,3.5,1.1,0.6,0.3,1.1,2.4,9.5
DeMarre Carroll,1.6,3.6,0.44799999999999995,0.496,2.5,3.2,0.777,0.9,3.9,4.8,1.1,0.3,0.1,1.1,1.6,10.6
Rondae Hollis-Jefferson,3.4,8.0,0.424,0.418,2.4,3.7,0.659,1.4,4.4,5.8,1.9,0.8,0.5,1.2,2.0,9.9
Jared Dudley,0.9,1.6,0.551,0.508,0.5,0.8,0.629,0.6,2.2,2.8,1.5,0.7,0.3,0.9,2.4,5.0
Rodions Kurucs,2.4,4.2,0.5660000000000001,0.5489999999999999,1.4,1.6,0.907,0.9,2.7,3.6,0.7,0.5,0.3,1.1,2.1,9.0
