Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Caris LeVert,24.0,14.0,14.0,,6.9,14.6,0.475,1.4,4.4,0.311,5.6,10.2,,,3.1,4.4,0.721,1.0,3.3,4.3,,1.2,0.4,,2.4,18.4
Joe Harris,27.0,40.0,,29.4,,9.6,0.506,2.4,5.0,0.483,2.5,4.6,0.5329999999999999,,1.2,,0.8390000000000001,0.8,2.9,3.6,2.4,0.6,,1.5,2.9,13.4
D'Angelo Russell,22.0,43.0,43.0,,7.2,,,2.4,6.7,0.35600000000000004,4.8,10.0,0.47700000000000004,0.5,1.6,1.9,0.8170000000000001,0.5,3.3,3.8,6.3,1.1,0.3,2.9,1.7,
Spencer Dinwiddie,25.0,44.0,,,5.5,12.0,0.455,1.9,5.3,0.364,3.5,6.8,0.525,0.534,4.1,5.1,0.7959999999999999,0.4,,2.5,5.0,0.6,0.2,2.3,2.8,16.9
Jarrett Allen,20.0,42.0,42.0,26.5,4.4,7.5,0.584,0.1,0.6,,4.3,6.9,0.621,0.59,2.7,3.7,,2.6,,8.3,1.4,0.6,,1.3,2.4,11.5
Allen Crabbe,26.0,28.0,15.0,26.1,,,0.34299999999999997,2.3,6.0,0.387,,2.9,,0.474,,1.4,0.789,0.5,3.0,,1.1,0.6,0.3,1.1,2.4,9.5
DeMarre Carroll,32.0,32.0,,24.0,,,0.397,1.6,4.6,0.35600000000000004,1.6,3.6,0.44799999999999995,0.496,2.5,3.2,0.777,0.9,3.9,4.8,1.1,0.3,,,1.6,10.6
Rondae Hollis-Jefferson,24.0,34.0,19.0,24.0,3.6,8.9,,0.2,1.0,,3.4,8.0,0.424,,2.4,3.7,0.659,1.4,4.4,5.8,1.9,0.8,,1.2,2.0,
Jared Dudley,,43.0,25.0,22.0,1.8,4.4,0.405,0.9,2.8,0.322,0.9,1.6,0.551,0.508,0.5,0.8,0.629,0.6,2.2,2.8,1.5,0.7,0.3,,2.4,
Rodions Kurucs,20.0,,15.0,20.0,3.3,6.9,0.48100000000000004,0.9,2.7,0.34700000000000003,2.4,4.2,0.5660000000000001,,,1.6,0.907,0.9,2.7,3.6,0.7,0.5,0.3,1.1,2.1,
Ed Davis,29.0,43.0,1.0,18.3,2.4,3.9,0.619,0.0,,0.0,2.4,3.9,,0.619,1.0,1.9,0.55,3.0,5.6,8.6,0.7,0.6,0.4,0.8,,
Treveon Graham,25.0,,1.0,18.1,,5.0,0.2,0.4,3.1,0.136,,1.9,0.308,0.243,0.3,0.3,1.0,0.9,1.3,,0.9,,,0.7,1.6,2.7
Shabazz Napier,27.0,33.0,1.0,16.9,2.9,7.1,0.406,1.2,3.3,0.37,1.7,3.8,,0.491,2.0,2.4,,0.3,1.5,1.8,,0.7,,1.1,1.3,
Theo Pinson,23.0,7.0,,10.3,1.0,2.9,,,1.6,0.091,,1.3,0.667,0.375,0.6,0.6,1.0,0.1,1.3,1.4,1.7,0.1,0.0,0.6,0.7,2.7
Kenneth Faried,29.0,12.0,0.0,9.8,2.1,3.5,0.595,0.1,0.4,,2.0,3.1,0.649,0.607,0.8,1.3,0.625,1.3,2.4,3.7,0.2,0.2,,0.5,,5.1
Alan Williams,26.0,1.0,0.0,9.0,3.0,4.0,0.75,0.0,0.0,,,4.0,,0.75,2.0,4.0,,,6.0,8.0,2.0,0.0,0.0,1.0,0.0,
Dzanan Musa,,,,3.7,0.9,,,0.0,0.9,0.0,0.9,1.1,0.75,0.429,0.0,0.3,0.0,,0.3,0.4,,0.3,0.0,0.4,0.1,
