Name,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Allen Crabbe,0.7,2.9,0.25,0.474,1.1,1.4,0.789,0.5,3.0,3.5,1.1,0.6,0.3,1.1,2.4,9.5
DeMarre Carroll,1.6,3.6,0.44799999999999995,0.496,2.5,3.2,0.777,0.9,3.9,4.8,1.1,0.3,0.1,1.1,1.6,10.6
Rondae Hollis-Jefferson,3.4,8.0,0.424,0.418,2.4,3.7,0.659,1.4,4.4,5.8,1.9,0.8,0.5,1.2,2.0,9.9
Jared Dudley,0.9,1.6,0.551,0.508,0.5,0.8,0.629,0.6,2.2,2.8,1.5,0.7,0.3,0.9,2.4,5.0
Rodions Kurucs,2.4,4.2,0.5660000000000001,0.5489999999999999,1.4,1.6,0.907,0.9,2.7,3.6,0.7,0.5,0.3,1.1,2.1,9.0
Ed Davis,2.4,3.9,0.627,0.619,1.0,1.9,0.55,3.0,5.6,8.6,0.7,0.6,0.4,0.8,2.9,5.9
Treveon Graham,0.6,1.9,0.308,0.243,0.3,0.3,1.0,0.9,1.3,2.1,0.9,0.4,0.4,0.7,1.6,2.7
Shabazz Napier,1.7,3.8,0.43700000000000006,0.491,2.0,2.4,0.833,0.3,1.5,1.8,2.1,0.7,0.3,1.1,1.3,8.9
Theo Pinson,0.9,1.3,0.667,0.375,0.6,0.6,1.0,0.1,1.3,1.4,1.7,0.1,0.0,0.6,0.7,2.7
Kenneth Faried,2.0,3.1,0.649,0.607,0.8,1.3,0.625,1.3,2.4,3.7,0.2,0.2,0.3,0.5,0.7,5.1
