

Date 	Value
Jan 3, 2019 	2,446.12
Dec 1, 2018 	2,633.08
Nov 1, 2018 	2,723.23
Oct 1, 2018 	2,776.13
Sep 1, 2018 	2,896.89
Aug 1, 2018 	2,856.60
Jul 1, 2018 	2,793.99
Jun 1, 2018 	2,754.89
May 1, 2018 	2,706.32
Apr 1, 2018 	2,669.43
Mar 1, 2018 	2,729.67
Feb 1, 2018 	2,738.26
Jan 1, 2018 	2,836.75
Dec 1, 2017 	2,723.93
Nov 1, 2017 	2,650.06
Oct 1, 2017 	2,612.72
Sep 1, 2017 	2,545.55
Aug 1, 2017 	2,521.44
Jul 1, 2017 	2,526.80
Jun 1, 2017 	2,504.37
May 1, 2017 	2,466.85
Apr 1, 2017 	2,431.81
Mar 1, 2017 	2,446.78
Feb 1, 2017 	2,410.59
Jan 1, 2017 	2,361.30
Dec 1, 2016 	2,345.32
Nov 1, 2016 	2,260.84
Oct 1, 2016 	2,234.41
Sep 1, 2016 	2,252.51
Aug 1, 2016 	2,271.80
Jul 1, 2016 	2,250.80
Jun 1, 2016 	2,179.17
May 1, 2016 	2,167.09
Apr 1, 2016 	2,186.38
Mar 1, 2016 	2,140.02
Feb 1, 2016 	2,024.31
Jan 1, 2016 	2,041.06
Dec 1, 2015 	2,188.80
Nov 1, 2015 	2,209.51
Oct 1, 2015 	2,145.70
Sep 1, 2015 	2,059.57
Aug 1, 2015 	2,157.32
Jul 1, 2015 	2,211.58
Jun 1, 2015 	2,217.17
May 1, 2015 	2,238.34
Apr 1, 2015 	2,231.56
Mar 1, 2015 	2,220.22
Feb 1, 2015 	2,235.81
Jan 1, 2015 	2,187.26
Dec 1, 2014 	2,204.97
Nov 1, 2014 	2,182.12
Oct 1, 2014 	2,056.44
Sep 1, 2014 	2,110.52
Aug 1, 2014 	2,078.52
Jul 1, 2014 	2,087.29
Jun 1, 2014 	2,058.97
May 1, 2014 	2,002.08
Apr 1, 2014 	1,981.95
Mar 1, 2014 	1,987.69
Feb 1, 2014 	1,950.60
Jan 1, 2014 	1,963.54
Dec 1, 2013 	1,955.08
Nov 1, 2013 	1,928.70
Oct 1, 2013 	1,856.22
Sep 1, 2013 	1,816.07
Aug 1, 2013 	1,799.78
Jul 1, 2013 	1,800.42
Jun 1, 2013 	1,747.26
May 1, 2013 	1,774.25
Apr 1, 2013 	1,702.47
Mar 1, 2013 	1,679.18
Feb 1, 2013 	1,641.75
Jan 1, 2013 	1,620.28
Dec 1, 2012 	1,561.28
Nov 1, 2012 	1,526.66
Oct 1, 2012 	1,566.62
Sep 1, 2012 	1,572.11
Aug 1, 2012 	1,535.39
Jul 1, 2012 	1,495.90
Jun 1, 2012 	1,453.59
May 1, 2012 	1,470.97
Apr 1, 2012 	1,518.71
Mar 1, 2012 	1,526.39
Feb 1, 2012 	1,497.30
Jan 1, 2012 	1,446.17
Dec 1, 2011 	1,388.58
Nov 1, 2011 	1,366.33
Oct 1, 2011 	1,343.80
Sep 1, 2011 	1,304.00
Aug 1, 2011 	1,318.69
Jul 1, 2011 	1,478.38
Jun 1, 2011 	1,437.37
May 1, 2011 	1,492.74
Apr 1, 2011 	1,492.14
Mar 1, 2011 	1,471.27
Feb 1, 2011 	1,504.56
Jan 1, 2011 	1,467.92
Dec 1, 2010 	1,427.66
Nov 1, 2010 	1,380.99
Oct 1, 2010 	1,350.10
Sep 1, 2010 	1,294.67
Aug 1, 2010 	1,255.25
Jul 1, 2010 	1,248.33
Jun 1, 2010 	1,252.71
May 1, 2010 	1,299.66
Apr 1, 2010 	1,384.21
Mar 1, 2010 	1,334.19
Feb 1, 2010 	1,266.53
Jan 1, 2010 	1,306.88
Dec 1, 2009 	1,295.94
Nov 1, 2009 	1,267.67
Oct 1, 2009 	1,244.77
Sep 1, 2009 	1,219.00
Aug 1, 2009 	1,179.10
Jul 1, 2009 	1,095.25
Jun 1, 2009 	1,082.17
May 1, 2009 	1,063.53
Apr 1, 2009 	1,002.47
Mar 1, 2009 	897.12
Feb 1, 2009 	956.43
Jan 1, 2009 	1,033.23
Dec 1, 2008 	1,052.09
Nov 1, 2008 	1,047.71
Oct 1, 2008 	1,127.45
Sep 1, 2008 	1,401.93
Aug 1, 2008 	1,474.21
Jul 1, 2008 	1,440.67
Jun 1, 2008 	1,544.89
May 1, 2008 	1,632.56
Apr 1, 2008 	1,607.88
Mar 1, 2008 	1,554.45
Feb 1, 2008 	1,613.08
Jan 1, 2008 	1,646.29
Dec 1, 2007 	1,775.03
Nov 1, 2007 	1,754.85
Oct 1, 2007 	1,857.28
Sep 1, 2007 	1,809.83
Aug 1, 2007 	1,763.30
Jul 1, 2007 	1,840.03
Jun 1, 2007 	1,831.68
May 1, 2007 	1,831.53
Apr 1, 2007 	1,784.80
Mar 1, 2007 	1,726.81
Feb 1, 2007 	1,789.42
Jan 1, 2007 	1,773.29
Dec 1, 2006 	1,769.04
Nov 1, 2006 	1,736.92
Oct 1, 2006 	1,702.79
Sep 1, 2006 	1,636.87
Aug 1, 2006 	1,591.03
Jul 1, 2006 	1,560.83
Jun 1, 2006 	1,556.66
May 1, 2006 	1,605.59
Apr 1, 2006 	1,628.77
Mar 1, 2006 	1,631.99
Feb 1, 2006 	1,619.35
Jan 1, 2006 	1,625.26
Dec 1, 2005 	1,616.31
Nov 1, 2005 	1,578.26
Oct 1, 2005 	1,508.13
Sep 1, 2005 	1,554.22
Aug 1, 2005 	1,571.09
Jul 1, 2005 	1,576.51
Jun 1, 2005 	1,557.91
May 1, 2005 	1,527.63
Apr 1, 2005 	1,508.12
Mar 1, 2005 	1,557.99
Feb 1, 2005 	1,576.39
Jan 1, 2005 	1,561.41
Dec 1, 2004 	1,588.26
Nov 1, 2004 	1,542.50
Oct 1, 2004 	1,475.01
Sep 1, 2004 	1,483.37
Aug 1, 2004 	1,448.31
Jul 1, 2004 	1,471.57
Jun 1, 2004 	1,505.00
May 1, 2004 	1,469.82
Apr 1, 2004 	1,519.41
Mar 1, 2004 	1,511.66
Feb 1, 2004 	1,547.64
Jan 1, 2004 	1,541.24
Dec 1, 2003 	1,477.82
Nov 1, 2003 	1,434.23
Oct 1, 2003 	1,415.13
Sep 1, 2003 	1,387.35
Aug 1, 2003 	1,351.02
Jul 1, 2003 	1,360.29
Jun 1, 2003 	1,355.54
May 1, 2003 	1,285.54
Apr 1, 2003 	1,220.46
Mar 1, 2003 	1,158.43
Feb 1, 2003 	1,152.18
Jan 1, 2003 	1,242.63
Dec 1, 2002 	1,252.78
Nov 1, 2002 	1,264.96
Oct 1, 2002 	1,188.08
Sep 1, 2002 	1,208.40
Aug 1, 2002 	1,272.81
Jul 1, 2002 	1,264.51
Jun 1, 2002 	1,420.63
May 1, 2002 	1,512.86
Apr 1, 2002 	1,558.67
Mar 1, 2002 	1,626.39
Feb 1, 2002 	1,560.24
Jan 1, 2002 	1,622.68
Dec 1, 2001 	1,633.08
Nov 1, 2001 	1,604.97
Oct 1, 2001 	1,526.96
Sep 1, 2001 	1,476.66
Aug 1, 2001 	1,673.39
Jul 1, 2001 	1,710.24
Jun 1, 2001 	1,753.94
May 1, 2001 	1,801.81
Apr 1, 2001 	1,695.22
Mar 1, 2001 	1,696.25
Feb 1, 2001 	1,872.01
Jan 1, 2001 	1,922.50
Dec 1, 2000 	1,927.84
Nov 1, 2000 	1,994.94
Oct 1, 2000 	2,013.61
Sep 1, 2000 	2,130.13
Aug 1, 2000 	2,166.62
Jul 1, 2000 	2,148.45
Jun 1, 2000 	2,137.29
May 1, 2000 	2,084.61
Apr 1, 2000 	2,150.14
Mar 1, 2000 	2,123.20
Feb 1, 2000 	2,061.53
Jan 1, 2000 	2,128.57
Dec 1, 1999 	2,139.52
Nov 1, 1999 	2,083.09
Oct 1, 1999 	1,947.99
Sep 1, 1999 	1,978.73
Aug 1, 1999 	2,002.26
Jul 1, 1999 	2,087.95
Jun 1, 1999 	2,005.61
May 1, 1999 	2,020.05
Apr 1, 1999 	2,024.13
Mar 1, 1999 	1,957.74
Feb 1, 1999 	1,909.94
Jan 1, 1999 	1,915.63
Dec 1, 1998 	1,830.01
Nov 1, 1998 	1,758.78
Oct 1, 1998 	1,586.72
Sep 1, 1998 	1,572.37
Aug 1, 1998 	1,657.56
Jul 1, 1998 	1,786.16
Jun 1, 1998 	1,713.84
May 1, 1998 	1,715.99
Apr 1, 1998 	1,725.03
Mar 1, 1998 	1,673.26
Feb 1, 1998 	1,593.71
Jan 1, 1998 	1,502.50
Dec 1, 1997 	1,503.74
Nov 1, 1997 	1,465.28
Oct 1, 1997 	1,483.47
Sep 1, 1997 	1,465.04
Aug 1, 1997 	1,453.36
Jul 1, 1997 	1,453.01
Jun 1, 1997 	1,377.78
May 1, 1997 	1,311.49
Apr 1, 1997 	1,201.87
Mar 1, 1997 	1,247.84
Feb 1, 1997 	1,260.81
Jan 1, 1997 	1,213.81
Dec 1, 1996 	1,181.13
Nov 1, 1996 	1,169.08
Oct 1, 1996 	1,116.83
Sep 1, 1996 	1,077.92
Aug 1, 1996 	1,061.80
Jul 1, 1996 	1,033.95
Jun 1, 1996 	1,075.22
May 1, 1996 	1,064.21
Apr 1, 1996 	1,043.58
Mar 1, 1996 	1,047.44
Feb 1, 1996 	1,056.87
Jan 1, 1996 	1,002.96
Dec 1, 1995 	1,009.09
Nov 1, 1995 	977.19
Oct 1, 1995 	955.88
Sep 1, 1995 	952.17
Aug 1, 1995 	921.63
Jul 1, 1995 	921.17
Jun 1, 1995 	891.39
May 1, 1995 	867.41
Apr 1, 1995 	842.74
Mar 1, 1995 	820.95
Feb 1, 1995 	804.92
Jan 1, 1995 	780.18
Dec 1, 1994 	766.37
Nov 1, 1994 	776.17
Oct 1, 1994 	781.92
Sep 1, 1994 	787.76
Aug 1, 1994 	785.28
Jul 1, 1994 	766.64
Jun 1, 1994 	774.56
May 1, 1994 	770.47
Apr 1, 1994 	764.71
Mar 1, 1994 	794.14
Feb 1, 1994 	810.20
Jan 1, 1994 	815.40
Dec 1, 1993 	805.47
